journal_id,journal_index_date,code_group,amount_journal,kartu_piutang_id,amount_kartu_piutang,kartu_piutang_index_date
103805,26010111500016,120001,2973.00,25779,2973.00,260101115000016
347276,26010111500018,120001,-78000.00,108194,-78000.00,260101115000018
359084,26010111500019,120001,-63500.00,114050,-63500.00,260101115000019
359086,26010111500020,120001,-47000.00,114051,-47000.00,260101115000020
359088,26010111500021,120001,-30000.00,114052,-30000.00,260101115000021
43182,26010111510001,120001,9910.00,4759,9910.00,260101115100001
43186,26010111510002,120001,5405.00,4760,5405.00,260101115100002
43190,26010111510003,120001,1685.00,4761,1685.00,260101115100003
347278,26010111510004,120001,-17000.00,108195,-17000.00,260101115100005
103809,26010111530001,120001,18919.00,25781,18919.00,260101115300001
103813,26010111530002,120001,2081.00,25782,2081.00,260101115300002
103817,26010111530004,120001,18919.00,25784,18919.00,260101115300004
103821,26010111530005,120001,2081.00,25785,2081.00,260101115300005
359090,26010111530007,120001,-21000.00,114053,-21000.00,260101115300007
359092,26010111530008,120001,-21000.00,114054,-21000.00,260101115300008
43194,26010111550001,120001,6306.00,4763,6306.00,260101115500001
43198,26010111550002,120001,5856.00,4764,5856.00,260101115500002
43202,26010111550003,120001,37838.00,4765,37838.00,260101115500003
43206,26010111550004,120001,202703.00,4766,202703.00,260101115500004
43210,26010111550005,120001,27797.00,4767,27797.00,260101115500005
347280,26010111550006,120001,-280500.00,108196,-280500.00,260101115500007
43215,26010112040001,120001,9009.00,4769,9009.00,260101120400001
43220,26010112040002,120001,991.00,4770,991.00,260101120400002
347282,26010112040003,120001,-10000.00,108197,-10000.00,260101120400004
43224,26010112080001,120001,17117.00,4772,17117.00,260101120800001
43228,26010112080002,120001,1883.00,4773,1883.00,260101120800002
103825,26010112080004,120001,28829.00,25787,28829.00,260101120800004
103829,26010112080005,120001,18919.00,25788,18919.00,260101120800005
103833,26010112080006,120001,5252.00,25789,5252.00,260101120800006
347284,26010112080008,120001,-19000.00,108198,-19000.00,260101120800008
359094,26010112080009,120001,-53000.00,114055,-53000.00,260101120800009
43232,26010112090001,120001,25225.00,4775,25225.00,260101120900001
43236,26010112090002,120001,21622.00,4776,21622.00,260101120900002
43240,26010112090003,120001,27928.00,4777,27928.00,260101120900003
43244,26010112090004,120001,37838.00,4778,37838.00,260101120900004
43248,26010112090005,120001,12387.00,4779,12387.00,260101120900005
347286,26010112090006,120001,-125000.00,108199,-125000.00,260101120900007
43252,26010112100001,120001,15315.00,4781,15315.00,260101121000001
43256,26010112100002,120001,1685.00,4782,1685.00,260101121000002
103837,26010112100004,120001,8108.00,25791,8108.00,260101121000004
103841,26010112100005,120001,9009.00,25792,9009.00,260101121000005
103845,26010112100006,120001,1883.00,25793,1883.00,260101121000006
347288,26010112100008,120001,-17000.00,108200,-17000.00,260101121000008
359096,26010112100009,120001,-19000.00,114056,-19000.00,260101121000009
103849,26010112160001,120001,13514.00,25795,13514.00,260101121600001
103853,26010112160002,120001,7658.00,25796,7658.00,260101121600002
103857,26010112160003,120001,2328.00,25797,2328.00,260101121600003
359098,26010112160004,120001,-23500.00,114057,-23500.00,260101121600005
103861,26010112180001,120001,43243.00,25799,43243.00,260101121800001
103865,26010112180002,120001,4757.00,25800,4757.00,260101121800002
359100,26010112180003,120001,-48000.00,114058,-48000.00,260101121800004
126473,26010112190001,120001,9009.00,33667,9009.00,260101121900001
126477,26010112190002,120001,991.00,33668,991.00,260101121900002
362960,26010112190003,120001,-10000.00,115988,-10000.00,260101121900004
43260,26010112210001,120001,18919.00,4784,18919.00,260101122100001
43264,26010112210002,120001,6306.00,4785,6306.00,260101122100002
43268,26010112210003,120001,4505.00,4786,4505.00,260101122100003
43272,26010112210004,120001,3270.00,4787,3270.00,260101122100004
103869,26010112210006,120001,12613.00,25802,12613.00,260101122100006
103873,26010112210007,120001,1387.00,25803,1387.00,260101122100007
347290,26010112210009,120001,-33000.00,108201,-33000.00,260101122100009
359102,26010112210010,120001,-14000.00,114059,-14000.00,260101122100010
126481,26010112240001,120001,14414.00,33670,14414.00,260101122400001
126485,26010112240002,120001,1586.00,33671,1586.00,260101122400002
362962,26010112240003,120001,-16000.00,115989,-16000.00,260101122400004
103877,26010112250001,120001,9459.00,25805,9459.00,260101122500001
103881,26010112250002,120001,1041.00,25806,1041.00,260101122500002
359104,26010112250003,120001,-10500.00,114060,-10500.00,260101122500004
43276,26010112310001,120001,9009.00,4789,9009.00,260101123100001
43280,26010112310002,120001,4505.00,4790,4505.00,260101123100002
43284,26010112310003,120001,1486.00,4791,1486.00,260101123100003
347292,26010112310004,120001,-15000.00,108202,-15000.00,260101123100005
